"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13920","Transfer Funds","chromium","2026-06-17","passed","2026-06-17","","UI\transferFund.spec.ts","",""
"","861","Get Accounts List","chromium","2026-06-17","failed","2026-06-17","","API\accountList.spec.ts","",""
"","30050","Transfer Money and Validate","chromium","2026-06-17","broken","2026-06-17","Transfer Fund E2E Validation","e2e\TransferFund.e2e.spec.ts","",""
"","30193","Login Open Savings Account","chromium","2026-06-17","broken","2026-06-17","","UI\OpeningAccount.spec.ts","",""
"","18307","Register Customer","chromium","2026-06-17","passed","2026-06-17","","UI\RegisterAccount.spec.ts","",""
"","2661","Validate Account Details","chromium","2026-06-17","failed","2026-06-17","","API\accountDetailValidation.spec.ts","",""
"","3281","Validate Transactions","chromium","2026-06-17","failed","2026-06-17","","API\transactionValidation.spec.ts","",""
"","30206","Open Savings Account and Validate by API","chromium","2026-06-17","broken","2026-06-17","Open Account E2E Validation","e2e\OpeningAccount.e2e.spec.ts","",""
"","4200","Validate Account Exists","chromium","2026-06-17","failed","2026-06-17","","API\accountCreated.spec.ts","",""
"","1115","Create New Account API","chromium","2026-06-17","failed","2026-06-17","","API\accountCreation.spec.ts","",""
